Method_Parsed;Previous_Method_Parsed;ChgLines
ShareX.AfterUploadForm.btnOpenFile_Click(Object,EventArgs);ShareX.AfterUploadForm.btnOpenFile_Click(Object,EventArgs);1
ShareX.AfterUploadForm.btnFolderOpen_Click(Object,EventArgs);ShareX.AfterUploadForm.btnFolderOpen_Click(Object,EventArgs);1
ShareX.AfterUploadForm.btnClose_Click(Object,EventArgs);ShareX.AfterUploadForm.btnClose_Click(Object,EventArgs);0
ShareX.AfterUploadForm.GetUrlByType(LinkFormatEnum);ShareX.AfterUploadForm.GetUrlByType(LinkFormatEnum);0
ShareX.AfterUploadForm.GetLocalFilePathAsUri(String);ShareX.AfterUploadForm.GetLocalFilePathAsUri(String);0
ShareX.AfterUploadForm.lvClipboardFormats_MouseDoubleClick(Object,MouseEventArgs);ShareX.AfterUploadForm.lvClipboardFormats_MouseDoubleClick(Object,MouseEventArgs);0
ShareX.AfterUploadForm.Dispose(Boolean);ShareX.AfterUploadForm.Dispose(Boolean);0
ShareX.AfterUploadForm.InitializeComponent();ShareX.AfterUploadForm.InitializeComponent();1
ShareX.AutoCaptureForm.Dispose(Boolean);ShareX.AutoCaptureForm.Dispose(Boolean);0
ShareX.AutoCaptureForm.InitializeComponent();ShareX.AutoCaptureForm.InitializeComponent();1
ShareX.AutoCaptureForm.AutoCaptureForm();ShareX.AutoCaptureForm.AutoCaptureForm();2
ShareX.AutoCaptureForm.screenshotTimer_Elapsed(Object,ElapsedEventArgs);ShareX.AutoCaptureForm.screenshotTimer_Elapsed(Object,ElapsedEventArgs);0
ShareX.AutoCaptureForm.TakeScreenshot();ShareX.AutoCaptureForm.TakeScreenshot();21
ShareX.AutoCaptureForm.SelectRegion();ShareX.AutoCaptureForm.SelectRegion(TaskSettings);4
ShareX.AutoCaptureForm.UpdateRegion();ShareX.AutoCaptureForm.UpdateRegion();0
ShareX.AutoCaptureForm.UpdateStatus();ShareX.AutoCaptureForm.UpdateStatus();1
ShareX.AutoCaptureForm.Execute();ShareX.AutoCaptureForm.Execute();0
ShareX.AutoCaptureForm.btnRegion_Click(Object,EventArgs);ShareX.AutoCaptureForm.btnRegion_Click(Object,EventArgs);1
ShareX.AutoCaptureForm.nudDuration_ValueChanged(Object,EventArgs);ShareX.AutoCaptureForm.nudDuration_ValueChanged(Object,EventArgs);0
ShareX.AutoCaptureForm.cbAutoMinimize_CheckedChanged(Object,EventArgs);ShareX.AutoCaptureForm.cbAutoMinimize_CheckedChanged(Object,EventArgs);0
ShareX.AutoCaptureForm.cbWaitUploads_CheckedChanged(Object,EventArgs);ShareX.AutoCaptureForm.cbWaitUploads_CheckedChanged(Object,EventArgs);0
ShareX.AutoCaptureForm.btnExecute_Click(Object,EventArgs);ShareX.AutoCaptureForm.btnExecute_Click(Object,EventArgs);0
ShareX.AutoCaptureForm.AutoCapture_FormClosing(Object,FormClosingEventArgs);ShareX.AutoCaptureForm.AutoCapture_FormClosing(Object,FormClosingEventArgs);0
ShareX.AutoCaptureForm.rbFullscreen_CheckedChanged(Object,EventArgs);ShareX.AutoCaptureForm.rbFullscreen_CheckedChanged(Object,EventArgs);0
ShareX.AutoCaptureForm.AutoCapture_Resize(Object,EventArgs);ShareX.AutoCaptureForm.AutoCapture_Resize(Object,EventArgs);0
ShareX.AutoCaptureForm.niTray_MouseClick(Object,MouseEventArgs);ShareX.AutoCaptureForm.niTray_MouseClick(Object,MouseEventArgs);0
ShareX.AutoCaptureForm.if();ShareX.AutoCaptureForm.if();0
ShareX.AutoCaptureForm.rbCustomRegion_CheckedChanged(Object,EventArgs);ShareX.AutoCaptureForm.rbCustomRegion_CheckedChanged(Object,EventArgs);0
ShareX.HotkeySettingsForm.Dispose(Boolean);ShareX.HotkeySettingsForm.Dispose(Boolean);0
ShareX.HotkeySettingsForm.InitializeComponent();ShareX.HotkeySettingsForm.InitializeComponent();1
ShareX.HotkeySettingsForm.HotkeySettingsForm(HotkeyManager);ShareX.HotkeySettingsForm.HotkeySettingsForm(HotkeyManager);2
